,name,size,price,proof,type
0,FIREBALL CINNAMON 66,50 ML (Mini),$1.25 ,66,Whiskey
1,JACK DANIELS NO. 7 86,1.75 L (Large),$45.99 ,86,Whiskey
2,CROWN ROYAL 80,1.75 L (Large),$49.99 ,80,Whiskey
3,SEAGRAMS 7 80,1.75 L (Large),$22.99 ,80,Whiskey
4,JAMESON 80,1.75 L (Large),$52.99 ,80,Whiskey
5,CROWN ROYAL PEACH 70,750 ML (Standard),$31.99 ,70,Whiskey
6,JACK DANIELS NO. 7 86,750 ML (Standard),$28.99 ,86,Whiskey
7,FIREBALL CINNAMON 66,750 ML (Standard),$20.99 ,66,Whiskey
8,BULLEIT 95 RYE 90,1.75 L (Large),$61.99 ,90,Whiskey
9,CROWN ROYAL APPLE 70,750 ML (Standard),$31.99 ,70,Whiskey
10,BLACK VELVET BLENDED 80,1.75 L (Large),$14.99 ,80,Whiskey
11,FIREBALL CINNAMON 66,1.75 L (Large),$29.99 ,66,Whiskey
12,BULLEIT 95 RYE 90,750 ML (Standard),$35.99 ,90,Whiskey
13,FIREBALL CINNAMON 66,375 ML (Half),$11.99 ,66,Whiskey
14,CANADIAN CLUB 80,1.75 L (Large),$20.99 ,80,Whiskey
15,CROWN ROYAL VANILLA 70,750 ML (Standard),$26.99 ,70,Whiskey
16,RITTENHOUSE RYE 100,750 ML (Standard),$29.99 ,100,Whiskey
17,SOUTHERN COMFORT 70,1.75 L (Large),$29.99 ,70,Whiskey
18,SKREWBALL PB WHISKEY 70,750 ML (Standard),$28.99 ,70,Whiskey
19,JACK DANIELS FIRE 70,750 ML (Standard),$28.99 ,70,Whiskey
20,OLD OVERHOLT RYE 80,750 ML (Standard),$18.99 ,80,Whiskey
21,JACK DANIELS HONEY 70,1.75 L (Large),$46.99 ,70,Whiskey
22,SAZERAC STRAIGHT RYE 90,750 ML (Standard),$29.99 ,90,Whiskey
23,LTD CANADIAN  80,1.75 L (Large),$13.99 ,80,Whiskey
24,SUNTORY TOKI WHISKY 86,750 ML (Standard),$39.99 ,86,Whiskey
25,JAMESON BLK BARREL RES 80,750 ML (Standard),$44.99 ,80,Whiskey
26,REDBREAST IRISH WHISKEY 12 YR 80,750 ML (Standard),$69.99 ,80,Whiskey
27,TULLAMORE DEW 80,1.75 L (Large),$49.99 ,80,Whiskey
28,UNCLE NEAREST SM BATCH 93,750 ML (Standard),$46.99 ,93,Whiskey
29,FIREBALL CINNAMON 66,1 L,$25.99 ,66,Whiskey
30,CROWN ROYAL SALTED 70,750 ML (Standard),$31.99 ,70,Whiskey
31,UNCLE NEAREST WHISKEY 100,750 ML (Standard),$55.99 ,100,Whiskey
32,BUSHMILLS 80,1.75 L (Large),$37.99 ,80,Whiskey
33,REDEMPTION RYE 92,750 ML (Standard),$23.99 ,92,Whiskey
34,JAMESON STOUT CASKMATES 80,750 ML (Standard),$39.99 ,80,Whiskey
35,HIGH WEST DOUBLE RYE 92,750 ML (Standard),$38.99 ,92,Whiskey
36,GREEN SPOT POT STILL IRISH 80,750 ML (Standard),$79.99 ,80,Whiskey
37,MICHTERS STRAIGHT RYE 84.8,750 ML (Standard),$44.99 ,84.8,Whiskey
38,TEMPLETON RYE 4 YR 80,750 ML (Standard),$22.99 ,80,Whiskey
