,name,size,price
0,BACARDI RUM WHITE 80,1.75 L (Large),$21.99 
1,CAPT MORGAN ORIGINAL RUM 70,1.75 L (Large),$24.99 
2,BACARDI RUM WHITE 80,750 ML (Standard),$15.49 
3,BACARDI RUM GOLD 80,1.75 L (Large),$21.99 
4,MALIBU COCONUT RUM 42,750 ML (Standard),$14.99 
5,ADMIRAL NELSON SPICED RUM 70,1.75 L (Large),$17.99 
6,MALIBU COCONUT RUM 42,1.75 L (Large),$29.99 
7,SAILOR JERRY SPICED RUM 92,1.75 L (Large),$25.99 
8,SAILOR JERRY SPICED RUM 92,750 ML (Standard),$15.99 
9,BACARDI RUM GOLD 80,750 ML (Standard),$15.49 
10,BLACKHEART RUM 93,1.75 L (Large),$24.99 
11,FLOR DE CANA ANEJO ORO RUM 4 YR 80,1.75 L (Large),$27.99 
12,MALIBU PINEAPPLE RUM 42,750 ML (Standard),$14.99 
13,KRAKEN BLACK SPICED RUM 94,1.75 L (Large),$25.99 
14,DON Q RUM CRISTAL WHITE 80,1.75 L (Large),$21.99 
15,BACARDI RUM WHITE 80,1 L,$17.99 
16,CAPT MORGAN CARIB WHITE RUM 70,750 ML (Standard),$15.99 
17,CAPT MORGAN RUM 100,750 ML (Standard),$34.99 
18,BACARDI FLV DRGN BRY RUM 70,750 ML (Standard),$15.49 
19,BACARDI FLV LIMON RUM 70,1.75 L (Large),$22.99 
20,CAPT MORGAN CARIB WHITE RUM 70,1.75 L (Large),$25.99 
21,MOUNT GAY ECLIPSE RUM 80,750 ML (Standard),$23.99 
22,BACARDI OAK HEART SPICED RUM 70,1.75 L (Large),$22.99 
23,FLOR DE CANA GR RES 7 YR RUM 80,750 ML (Standard),$22.99 
24,MALIBU STRAWBERRY RUM 42,750 ML (Standard),$14.99 
25,BACARDI FLV LIMON RUM 70,750 ML (Standard),$15.49 
26,BACARDI FLV DRGN BRY RUM 70,1.75 L (Large),$22.99 
27,FLOR DE CANA WHITE RUM 4 YR 80,1.75 L (Large),$27.99 
28,MALIBU STRAWBERRY RUM 42,1.75 L (Large),$29.99 
29,BACARDI FLV LIME RUM 70,1.75 L (Large),$22.99 
30,PLANTATION 5 YR RUM 80,750 ML (Standard),$26.99 
31,CAPT MORGAN RUM 100,1.75 L (Large),$49.99 
32,MOUNT GAY ECLIPSE RUM 80,1.75 L (Large),$36.99 
33,BACARDI OAK HEART SPICED RUM 70,750 ML (Standard),$15.49 
34,PARROT BAY COCONUT RUM 90,750 ML (Standard),$19.99 
35,BACARDI FLV PINEAPPLE RUM 70,750 ML (Standard),$15.49 
36,GOSLINGS BLACK SEAL DK 80,1.75 L (Large),$33.99 
37,MALIBU MANGO RUM 42,750 ML (Standard),$14.99 
38,BACARDI FLV LIME RUM 70,750 ML (Standard),$15.49 
39,MALIBU WATERMELON RUM 42,750 ML (Standard),$14.99 
40,RON ZACAPA CENTENARIO 23 YR RUM 80,750 ML (Standard),$49.99 
41,EL DORADO 12 YR RUM 80,750 ML (Standard),$38.99 
42,BUMBU RUM 70,750 ML (Standard),$33.99 
43,CAPT MORGAN ORIGINAL RUM 70,750 ML (Standard),$16.99 
44,KRAKEN BLACK SPICED RUM 94,750 ML (Standard),$21.99 
45,BACARDI FLV RASPBERRY RUM 70,750 ML (Standard),$15.49 
46,BLACKHEART RUM 93,750 ML (Standard),$14.99 
47,OLD MONK 7 YEAR RUM 80,750 ML (Standard),$22.99 
48,FLOR DE CANA WHITE RUM 4 YR 80,750 ML (Standard),$16.99 
49,MALIBU WATERMELON RUM 42,1.75 L (Large),$29.99 
50,BACARDI FLV PINEAPPLE RUM 70,1.75 L (Large),$22.99 
51,MYERS ORIGINAL DARK 80,1.75 L (Large),$49.99 
52,CAPT MORGAN CARIB COCO RUM 70,750 ML (Standard),$15.99 
53,GOSLINGS BLACK SEAL DK 151,750 ML (Standard),$24.99 
54,DON Q RUM GOLD 80,1.75 L (Large),$21.99 
55,PAMPERO ANIVERSARIO RUM 8YR 80,750 ML (Standard),$31.99 
56,SOON HARI PEACH SOJU,375 ML (Half),$7.49 
57,RUM HAVEN COCO RUM  42,750 ML (Standard),$19.99 
58,BACARDI FLV RASPBERRY RUM 70,1.75 L (Large),$22.99 
59,APPLETON RARE BLEND 12 YR 86,750 ML (Standard),$46.99 
60,BACARDI BLACK 80,750 ML (Standard),$15.49 
61,J WRAY OVERPROOF 126,750 ML (Standard),$24.99 
62,FLOR DE CANA CENTENARIO 12 RUM 80,750 ML (Standard),$38.99 
63,FLOR DE CANA RUM 18 YR 80,750 ML (Standard),$47.99 
64,BACARDI FLV MANGO RUM 70,750 ML (Standard),$15.49 
65,BRUGAL RUM ANEJO 80,750 ML (Standard),$21.99 
66,KIRK AND SWEENEY GRAN RES RUM 80,750 ML (Standard),$49.99 
67,KIRK AND SWEENEY RES RUM 80,750 ML (Standard),$30.99 
