,name,size,price
0,PATRON SILVER TEQ 80,750 ML (Standard),$57.99 
1,CUERVO GOLD 80,1.75 L (Large),$33.99 
2,CASAMIGOS BLANCO 80,750 ML (Standard),$49.99 
3,SAUZA HORNITOS PLATA 80,1.75 L (Large),$39.99 
4,DON JULIO BLANCO 80,750 ML (Standard),$57.99 
5,CUERVO SILVER 80,1.75 L (Large),$33.99 
6,SAUZA HORNITOS REPOSADO 80,1.75 L (Large),$39.99 
7,MILAGRO SILVER 80,750 ML (Standard),$32.99 
8,1800 SILVER 80,750 ML (Standard),$26.99 
9,LUNAZUL BLANCO TEQ 80,750 ML (Standard),$22.99 
10,ESPOLON REPOSADO 80,750 ML (Standard),$29.99 
11,1800 SILVER 80,1.75 L (Large),$39.99 
12,CAMARENA SILVER TEQ 80,750 ML (Standard),$21.99 
13,CAMARENA REPOSADO TEQ 80,1.75 L (Large),$39.99 
14,SAUZA HORNITOS PLATA 80,750 ML (Standard),$29.99 
15,HERRADURA SILVER 80,750 ML (Standard),$42.99 
16,EXOTICO BLANCO 80,1.75 L (Large),$32.99 
17,CASAMIGOS REPOSADO 80,750 ML (Standard),$52.99 
18,EL JIMADOR BLANCO 80,1.75 L (Large),$33.99 
19,CUERVO SILVER 80,50 ML (Mini),$2.00 
20,DEL MAGUEY VIDA 84,750 ML (Standard),$35.99 
21,CASAMIGOS ANEJO 80,750 ML (Standard),$57.99 
22,ESPOLON BLANCO 80,1.75 L (Large),$55.99 
23,PATRON SILVER TEQ 80,375 ML (Half),$31.99 
24,CAMARENA SILVER TEQ 80,1.75 L (Large),$39.99 
25,DON JULIO 70TH ANNIV 80,750 ML (Standard),$79.99 
26,EXOTICO REPOSADO 80,1.75 L (Large),$34.99 
27,CUERVO GOLD 80,750 ML (Standard),$24.99 
28,DON JULIO REPOSADO 80,750 ML (Standard),$59.99 
29,MILAGRO SILVER 80,1.75 L (Large),$46.99 
30,CAMARENA REPOSADO TEQ 80,750 ML (Standard),$21.99 
31,MONTE ALBAN MEZCAL 80,750 ML (Standard),$29.99 
32,1800 REPOSADO 80,750 ML (Standard),$27.99 
33,ESPOLON REPOSADO 80,1.75 L (Large),$57.99 
34,EL JIMADOR BLANCO 80,750 ML (Standard),$24.99 
35,EL JIMADOR REPOSADO 80,1.75 L (Large),$33.99 
36,MILAGRO REPOSADO 80,750 ML (Standard),$32.99 
37,ESPOLON BLANCO 80,750 ML (Standard),$29.99 
38,MARGARITAVILLE GOLD TEQ 80,50 ML (Mini),$1.25 
39,DEKUYPER TRIPLE SEC 30,750 ML (Standard),$7.99 
40,1800 COCONUT 70,750 ML (Standard),$26.99 
41,MAESTRO DOBEL DIAMANTE TEQ 80,750 ML (Standard),$59.99 
42,LUNAZUL REPOSADO TEQ 80,750 ML (Standard),$22.99 
43,MARGARITAVILLE SILVER TEQ 80,50 ML (Mini),$1.25 
44,PATRON REPOSADO TEQ 80,750 ML (Standard),$59.99 
45,HERRADURA REPOSADO 80,750 ML (Standard),$52.99 
46,1800 SILVER 80,375 ML (Half),$22.99 
47,DULCE VIDA TEQ LIME 70,750 ML (Standard),$22.99 
48,CASAMIGOS BLANCO 80,1.75 L (Large),$86.99 
49,DELEON REPOSADO TEQ 80,750 ML (Standard),$52.99 
50,CUERVO GOLD 80,50 ML (Mini),$2.00 
51,PATRON SILVER TEQ 80,50 ML (Mini),$8.50 
52,DON JULIO BLANCO 80,1.75 L (Large),$99.99 
53,DULCE VIDA TEQ PINEAPPLE 70,750 ML (Standard),$22.99 
54,LUNAZUL BLANCO TEQ 80,375 ML (Half),$13.99 
55,PATRON ANEJO TEQ 80,750 ML (Standard),$65.99 
56,TANTEO JALAPENO 80,750 ML (Standard),$39.99 
57,PATRON SILVER TEQ 80,1.75 L (Large),$99.99 
58,1800 ANEJO 80,750 ML (Standard),$42.99 
59,BOZAL ESPADIN ENSAMBLE MEZCAL 94,750 ML (Standard),$47.99 
60,SAUZA HORNITOS REPOSADO 80,750 ML (Standard),$29.99 
61,MILAGRO ANEJO 80,750 ML (Standard),$44.99 
62,WAHAKA ESPADIN MEZCAL 80,750 ML (Standard),$37.99 
63,CUERVO GOLD 80,200 ML,$9.99 
64,CUERVO TRADICIONAL REPOSADO 80,750 ML (Standard),$24.99 
65,MILAGRO REPOSADO 80,1.75 L (Large),$46.99 
66,MI CAMPO BLANCO TEQULA 80,750 ML (Standard),$23.49 
67,AVION RESERVA 44 80,750 ML (Standard),$114.99 
68,CASAMIGOS MEZCAL 80,750 ML (Standard),$59.99 
69,EL JIMADOR REPOSADO 80,750 ML (Standard),$24.99 
70,DEL MAGUEY CREMA DE MEZCAL 80,750 ML (Standard),$35.99 
71,BRIBON BLANCO TEQUILA 80,750 ML (Standard),$19.99 
72,CINCORO REPOSADO TEQ 80,750 ML (Standard),$96.99 
73,PATRON REPOSADO TEQ 80,375 ML (Half),$32.99 
74,LUNAZUL ANEJO TEQ 80,750 ML (Standard),$27.99 
75,DULCE VIDA TEQ GRAPEFRUIT 70,750 ML (Standard),$22.99 
76,CUERVO SILVER 80,750 ML (Standard),$24.99 
