,name,size,price
0,TITOS VODKA 80,1.75 L (Large),$29.99 
1,SMIRNOFF VODKA 80,1.75 L (Large),$19.99 
2,SVEDKA VODKA 80,1.75 L (Large),$15.99 
3,KETEL ONE VODKA 80,1.75 L (Large),$29.99 
4,SKYY VODKA 80,1.75 L (Large),$21.99 
5,TITOS VODKA 80,750 ML (Standard),$20.99 
6,NEW AMSTERDAM VODKA 80,1.75 L (Large),$19.99 
7,LUKSUSOWA VODKA 80,1.75 L (Large),$23.99 
8,STOLICHNAYA VODKA 80,1.75 L (Large),$29.99 
9,NEW AMSTERDAM PINK WHITNEY VDK 60,750 ML (Standard),$15.49 
10,TITOS VODKA 80,1 L,$26.99 
11,DEEP EDDY RUBY RED VDK 70,1.75 L (Large),$22.99 
12,ABSOLUT VODKA 80,1.75 L (Large),$28.99 
13,GREY GOOSE VODKA 80,750 ML (Standard),$27.99 
14,KETEL ONE VODKA 80,750 ML (Standard),$21.99 
15,GREY GOOSE VODKA 80,1 L,$36.99 
16,GREY GOOSE VODKA 80,1.75 L (Large),$46.99 
17,KETEL ONE PEACH ORNG VDK 60,750 ML (Standard),$19.99 
18,NEW AMSTERDAM VODKA 80,750 ML (Standard),$15.49 
19,SMIRNOFF FLV BLUEBERRY 70,1.75 L (Large),$22.99 
20,DEEP EDDY SWEET TEA VDK 70,1.75 L (Large),$22.99 
21,ABSOLUT CITRON VDK 80,1.75 L (Large),$29.99 
22,REYKA VODKA 80,1.75 L (Large),$35.99 
23,KETEL ONE CUC MINT VDK 60,750 ML (Standard),$19.99 
24,SMIRNOFF VODKA 100,1.75 L (Large),$41.99 
25,CIROC PINEAPPLE VDK 70,750 ML (Standard),$35.99 
26,BELVEDERE VODKA 80,1.75 L (Large),$48.99 
27,SMIRNOFF FLV RASPBERRY 70,1.75 L (Large),$22.99 
28,DEEP EDDY VODKA 80,1.75 L (Large),$22.99 
29,SMIRNOFF FLV KISSED CARAMEL 60,750 ML (Standard),$14.99 
30,KETEL ONE GRAPE ROSE VDK 60,750 ML (Standard),$19.99 
31,REYKA VODKA 80,750 ML (Standard),$20.99 
32,SKYY VODKA 80,750 ML (Standard),$13.49 
33,DEEP EDDY LEMON VDK 70,1.75 L (Large),$22.99 
34,SMIRNOFF FLV STRAWBERRY 70,1.75 L (Large),$22.99 
35,SMIRNOFF FLV VANILLA 70,1.75 L (Large),$22.99 
36,SOBIESKI VODKA 80 - POLAND,1.75 L (Large),$19.99 
37,SVEDKA VODKA 80,750 ML (Standard),$9.99 
38,RUSSIAN STND VODKA 80,1.75 L (Large),$29.99 
39,SVEDKA VODKA 80,1 L,$16.99 
40,GREY GOOSE WATER BASIL 60,750 ML (Standard),$27.99 
41,CIROC VODKA 80,750 ML (Standard),$35.99 
42,GREY GOOSE STRAW LEMON 60,750 ML (Standard),$27.99 
43,SMIRNOFF FLV ORANGE 70,1.75 L (Large),$22.99 
44,SMIRNOFF FLV WATERMELON 70,750 ML (Standard),$14.99 
45,DEEP EDDY CRANBERRY VDK 70,1.75 L (Large),$22.99 
46,SMIRNOFF FLV CHERRY 70,1.75 L (Large),$22.99 
47,SMIRNOFF FLV PINK LEMONADE 60,750 ML (Standard),$14.99 
48,GREY GOOSE PEACH ROSE 60,750 ML (Standard),$27.99 
49,NEW AMSTERDAM PINEAPPLE VDK 70,1.75 L (Large),$23.99 
50,CIROC PEACH VDK 70,750 ML (Standard),$35.99 
51,ABSOLUT VANILLA VDK 80,750 ML (Standard),$21.99 
52,SMIRNOFF FLV WHIPPED CREAM 60,750 ML (Standard),$14.99 
53,CHOPIN SMALL BATCH VDK 80,1.75 L (Large),$37.99 
54,JINRO SOJU '24,375 ML (Half),$6.99 
55,SMIRNOFF FLV PINK LEMONADE 60,1.75 L (Large),$22.99 
56,CIROC RED BERRY VDK 70,750 ML (Standard),$35.99 
57,SMIRNOFF FLV CITRUS 70,1.75 L (Large),$22.99 
58,SMIRNOFF FLV WATERMELON 70,1.75 L (Large),$22.99 
59,BELVEDERE VODKA 80,1 L,$44.99 
60,ABSOLUT CITRON VDK 80,750 ML (Standard),$21.99 
61,KETEL ONE CITROEN VDK 80,1.75 L (Large),$32.99 
62,SMIRNOFF FLV KISSED CARAMEL 60,1.75 L (Large),$22.99 
63,SMIRNOFF FLV GRN APPLE 70,1.75 L (Large),$22.99 
64,CIROC APPLE VDK 70,750 ML (Standard),$35.99 
65,CIROC VODKA 80,1.75 L (Large),$51.99 
66,SMIRNOFF FLV BLUEBERRY 70,750 ML (Standard),$14.99 
67,SMIRNOFF FLV STRAWBERRY 70,750 ML (Standard),$14.99 
68,CIROC MANGO VDK 70,750 ML (Standard),$35.99 
69,NEW AMSTERDAM RED BERRY VDK 70,1.75 L (Large),$23.99 
70,KETEL RTD SPRITZ CUC MINT 4 PK,4pk,$14.49 
71,NEW AMSTERDAM WATERMELON VDK 70,1.75 L (Large),$23.99 
72,KETEL RTD SPRITZ GRAPE ROSE 4 PK,4pk,$14.49 
73,KETEL RTD SPRITZ PEACH ORNG 4 PK,4pk,$14.49 
74,SMIRNOFF FLV CHERRY 70,750 ML (Standard),$14.99 
75,BURNETTS CHERRY VDK 70,1.75 L (Large),$14.99 
76,SVEDKA BLUE RASPBERRY 70,1.75 L (Large),$15.99 
77,DEEP EDDY CRANBERRY VDK 70,750 ML (Standard),$17.99 
78,DEEP EDDY LEMON VDK 70,750 ML (Standard),$17.99 
79,CHOPIN SMALL BATCH VDK 80,750 ML (Standard),$24.99 
80,NEW AMSTERDAM PINEAPPLE VDK 70,750 ML (Standard),$15.49 
81,SVEDKA STRAW LEMON 70,1.75 L (Large),$15.99 
82,SMIRNOFF FLV PEACH 70,750 ML (Standard),$14.99 
83,DEEP EDDY ORANGE VDK 70,1.75 L (Large),$22.99 
84,ABSOLUT PEARS VDK 80,750 ML (Standard),$21.99 
85,SVEDKA STRAW LEMON 70,750 ML (Standard),$10.99 
86,ABSOLUT MANDRIN VDK 80,1.75 L (Large),$29.99 
87,ABSOLUT WATERMELON VDK 76,750 ML (Standard),$21.99 
88,SVEDKA CITRON 70,1.75 L (Large),$15.99 
89,ABSOLUT MANDRIN VDK 80,750 ML (Standard),$21.99 
90,NEW AMSTERDAM COCONUT VDK 70,1.75 L (Large),$23.99 
91,STOLI FLV RAZBERI 70,1.75 L (Large),$29.99 
92,GOOD DAY GRAPEFRUIT SOJU,375 ML (Half),$6.99 
93,GOOD DAY GREEN GRAPE SOJU,375 ML (Half),$6.99 
94,CIROC COCONUT VDK 70,1.75 L (Large),$51.99 
95,GREY GOOSE LE CITRON 80,750 ML (Standard),$27.99 
96,KETEL ONE ORANJE VDK 80,750 ML (Standard),$21.99 
97,CIROC COCONUT VDK 70,750 ML (Standard),$35.99 
98,STOLICHNAYA VODKA 80,750 ML (Standard),$19.99 
99,KETEL ONE CITROEN VDK 80,750 ML (Standard),$21.99 
100,SVEDKA MANGO PINEAPPLE 70,1.75 L (Large),$15.99 
101,NEW AMSTERDAM GRAPEFRUIT VDK 70,750 ML (Standard),$15.49 
102,ABSOLUT GRAPEFRUIT VDK 80,750 ML (Standard),$21.99 
103,DEEP EDDY SWEET TEA VDK 70,750 ML (Standard),$17.99 
104,DEEP EDDY RUBY RED VDK 70,750 ML (Standard),$17.99 
105,LUKSUSOWA VODKA 80,750 ML (Standard),$12.99 
106,SVEDKA RASPBERRY 70,1.75 L (Large),$15.99 
107,SVEDKA MANGO PINEAPPLE 70,750 ML (Standard),$10.99 
108,NEW AMSTERDAM GRAPEFRUIT VDK 70,1.75 L (Large),$23.99 
109,NEW AMSTERDAM WATERMELON VDK 70,750 ML (Standard),$15.49 
110,EFFEN VODKA 80,750 ML (Standard),$22.99 
111,SMIRNOFF FLV PINEAPPLE 70,750 ML (Standard),$14.99 
112,ABSOLUT LIME VDK 80,750 ML (Standard),$21.99 
113,SVEDKA BLUE RASPBERRY 70,750 ML (Standard),$10.99 
114,CIROC PEACH VDK 70,1.75 L (Large),$51.99 
115,CIROC APPLE VDK 70,1.75 L (Large),$51.99 
116,NEW AMSTERDAM GLUTEN FREE VDK 80,1.75 L (Large),$21.99 
117,HAKU VODKA 80,750 ML (Standard),$29.99 
118,NEW AMSTERDAM LEMON VDK 70,1.75 L (Large),$23.99 
119,GREY GOOSE LA POIRE 80,750 ML (Standard),$27.99 
120,GREY GOOSE L'ORANGE 80,750 ML (Standard),$27.99 
121,DEEP EDDY VODKA 80,750 ML (Standard),$17.99 
122,NEW AMSTERDAM PEACH VDK 70,750 ML (Standard),$15.49 
123,STOLI FLV BLUEBERI 70,1.75 L (Large),$29.99 
124,EFFEN BLOOD ORANGE VDK 75,750 ML (Standard),$22.99 
125,GORDONS VODKA 80,1.75 L (Large),$21.99 
126,STOLI FLV VANIL 70,750 ML (Standard),$19.99 
127,CIROC RED BERRY VDK 70,1.75 L (Large),$51.99 
128,NEW AMSTERDAM RASPBERRY VDK 70,1.75 L (Large),$23.99 
129,PLUME & PETAL LEMON 40,Other,$18.99 
130,GRAINGERS ORG VODKA 80,1.75 L (Large),$22.99 
131,STOLI FLV LIME 75,750 ML (Standard),$19.99 
132,CIROC PINEAPPLE VDK 70,1.75 L (Large),$51.99 
133,BURNETTS CITRUS VDK 70,1.75 L (Large),$14.99 
134,DEEP EDDY LIME VDK 70,1.75 L (Large),$22.99 
135,RUSSIAN STND VODKA 80,750 ML (Standard),$16.99 
136,NEW AMSTERDAM LEMON VDK 70,750 ML (Standard),$15.49 
137,BELUGA VODKA 80,750 ML (Standard),$34.99 
138,SKYY INF GEORGIA PEACH VDK 70,750 ML (Standard),$13.99 
139,NEW AMSTERDAM COCONUT VDK 70,750 ML (Standard),$15.49 
140,NEW AMSTERDAM MANGO VDK 70,1.75 L (Large),$23.99 
141,SMIRNOFF FLV PEACH 70,1.75 L (Large),$22.99 
142,STOLI FLV VANIL 70,1.75 L (Large),$29.99 
143,PLUME & PETAL PEACH 40,Other,$18.99 
