,name,size,price
0,FIREBALL CINNAMON 66,50 ML (Mini),$1.25 
1,JACK DANIELS NO. 7 86,1.75 L (Large),$45.99 
2,CROWN ROYAL 80,1.75 L (Large),$49.99 
3,SEAGRAMS 7 80,1.75 L (Large),$22.99 
4,JAMESON 80,1.75 L (Large),$52.99 
5,CROWN ROYAL PEACH 70,750 ML (Standard),$31.99 
6,JACK DANIELS NO. 7 86,750 ML (Standard),$28.99 
7,FIREBALL CINNAMON 66,750 ML (Standard),$20.99 
8,BULLEIT 95 RYE 90,1.75 L (Large),$61.99 
9,CROWN ROYAL APPLE 70,750 ML (Standard),$31.99 
10,BLACK VELVET BLENDED 80,1.75 L (Large),$14.99 
11,FIREBALL CINNAMON 66,1.75 L (Large),$29.99 
12,BULLEIT 95 RYE 90,750 ML (Standard),$35.99 
13,FIREBALL CINNAMON 66,375 ML (Half),$11.99 
14,CANADIAN CLUB 80,1.75 L (Large),$20.99 
15,CROWN ROYAL VANILLA 70,750 ML (Standard),$26.99 
16,RITTENHOUSE RYE 100,750 ML (Standard),$29.99 
17,SOUTHERN COMFORT 70,1.75 L (Large),$29.99 
18,SKREWBALL PB WHISKEY 70,750 ML (Standard),$28.99 
19,JACK DANIELS FIRE 70,750 ML (Standard),$28.99 
20,OLD OVERHOLT RYE 80,750 ML (Standard),$18.99 
21,JACK DANIELS HONEY 70,1.75 L (Large),$46.99 
22,SAZERAC STRAIGHT RYE 90,750 ML (Standard),$29.99 
23,LTD CANADIAN  80,1.75 L (Large),$13.99 
24,SUNTORY TOKI WHISKY 86,750 ML (Standard),$39.99 
25,JAMESON BLK BARREL RES 80,750 ML (Standard),$44.99 
26,REDBREAST IRISH WHISKEY 12 YR 80,750 ML (Standard),$69.99 
27,TULLAMORE DEW 80,1.75 L (Large),$49.99 
28,UNCLE NEAREST SM BATCH 93,750 ML (Standard),$46.99 
29,FIREBALL CINNAMON 66,1 L,$25.99 
30,CROWN ROYAL SALTED 70,750 ML (Standard),$31.99 
31,UNCLE NEAREST WHISKEY 100,750 ML (Standard),$55.99 
32,BUSHMILLS 80,1.75 L (Large),$37.99 
33,REDEMPTION RYE 92,750 ML (Standard),$23.99 
34,JAMESON STOUT CASKMATES 80,750 ML (Standard),$39.99 
35,HIGH WEST DOUBLE RYE 92,750 ML (Standard),$38.99 
36,GREEN SPOT POT STILL IRISH 80,750 ML (Standard),$79.99 
37,MICHTERS STRAIGHT RYE 84.8,750 ML (Standard),$44.99 
38,TEMPLETON RYE 4 YR 80,750 ML (Standard),$22.99 
39,OLD THOMPSON 80,1.75 L (Large),$16.99 
40,JAMESON COLD BREW 60,750 ML (Standard),$31.99 
41,FIREBALL CINNAMON 66,200 ML,$5.99 
42,WOODFORD RES RYE 90.4,750 ML (Standard),$42.99 
43,JACK DANIELS APPLE 70,750 ML (Standard),$28.99 
44,EVAN WILLIAMS CHERRY 70,750 ML (Standard),$14.99 
45,GENTLEMAN JACK 80,750 ML (Standard),$38.99 
46,SEAGRAMS VO 80,1.75 L (Large),$23.99 
47,TULLAMORE DEW 80,750 ML (Standard),$31.99 
